,Date,HomeTeam,AwayTeam,Total_Points_HomeTeam,Total_Points_AwayTeam,FirstHalf_Points_HomeTeam,FirstHalf_Points_AwayTeam,SecondHalf_Points_HomeTeam,SecondHalf_Points_AwayTeam
0,01.10. 01:00,Tamil Thalaivas,U Mumba,32,36,11,15,21,21
1,01.10. 00:00,Bengal Warriors,Dabang Delhi,42,33,25,14,17,19
2,30.09. 01:00,Haryana Steelers,Gujarat FortuneGiants,38,37,14,19,24,18
3,30.09. 00:00,Puneri Paltan,Dabang Delhi,40,60,16,30,24,30
4,29.09. 01:00,Gujarat FortuneGiants,Tamil Thalaivas,50,21,20,9,30,12
5,29.09. 00:00,Haryana Steelers,UP Yoddha,30,37,11,15,19,22
6,28.09. 01:00,Jaipur Pink Panthers,Telugu Titans,31,51,15,17,16,34
7,28.09. 00:00,U Mumba,Bengaluru Bulls,33,35,11,17,22,18
8,27.09. 00:00,Patna Pirates,Dabang Delhi,39,43,13,13,26,30
9,26.09. 01:00,Jaipur Pink Panthers,Puneri Paltan,43,34,20,13,23,21
10,26.09. 00:00,Telugu Titans,Bengal Warriors,39,40,13,19,26,21
11,24.09. 01:00,Dabang Delhi,Bengaluru Bulls,39,39,22,19,17,20
12,24.09. 00:00,Patna Pirates,Haryana Steelers,34,39,15,17,19,22
13,23.09. 01:00,Jaipur Pink Panthers,Bengal Warriors,40,41,14,13,26,28
14,23.09. 00:00,U Mumba,Gujarat FortuneGiants,31,25,16,16,15,9
15,22.09. 01:00,UP Yoddha,Tamil Thalaivas,42,22,13,14,29,8
16,22.09. 00:00,Jaipur Pink Panthers,Gujarat FortuneGiants,28,28,15,10,13,18
17,21.09. 01:00,Puneri Paltan,Bengaluru Bulls,42,38,20,15,22,23
18,21.09. 00:00,Telugu Titans,Patna Pirates,42,42,19,19,23,23
19,20.09. 00:00,Bengal Warriors,Haryana Steelers,48,36,30,14,18,22
20,19.09. 01:00,Puneri Paltan,Tamil Thalaivas,36,36,18,12,18,24
